ФИО лица выдавшего Поручение,Дата Поручения,Номер Поручения,Досудебное урегулирование,Дата Претензии/Уведомления,Номер Претензии/Уведомления,Номер Дела,Исполнитель от Юридического отдела (ФИО),Дата Иска,Иск - Входящий/Исходящий,Истец,Ответчик,Третьи лица,Исковое требование,Предмет Искового требования,Основной долг (Сумма Иска предъявленного Москомнаследием),Пени (Пени Иска предъявленного Москомнаследием),Комментарий,Инстанция,Дата судебного заседания,Время судебного заседания,Результат рассмотрения судебного заседания,Вид Решения Суда,Дата решения Суда,Основной долг (По решению суда),Пени (По решению суда),Примечание,Идентификатор,Аппеляционная инстанция,Кассационная инстанция,Номер Исполнительного листа,Дата поступления Исполнительного листа,Дата направления Исполнительного листа,Отдел службы судебных приставов,Комментарий к исполнительному производству,Дата исполнения решения,Результат исполнения,key,link
,,,,,,"А40-49203/17","Шастун А.В.",,"Входящий","ДГИ","ТУ Росимущества","Москомнаследие",,"о признании права собственности города Москвы",0.0000,0.0000,,"Первая инстанция","09/04/17 00:00:00","12:00",,,,0.0000,0.0000,,,,,,,,,,,,2477,4751
,"04/24/17 00:00:00","16-11-425/7",,,,"А40-62260/17","Величко В.В.",,,"ФГУП ""НИЦЭП""","Москомнаследие, ОАО ""Моспроект-2"", ЗАО ""Учебный центр центробизнес""",,,"о признании недействительным инвестиционного договора № 336 от 12.09.1995",0.0000,0.0000,"Апелляция","Первая инстанция","04/03/19 00:00:00","16:10",,,,0.0000,0.0000,,,,,,,,,,,,2478,4224
,"04/27/17 00:00:00","16-11-435/7",,,,"А40-71489/17","Решетников Д.К.",,,"ГУП ""РЭМ""","ЗАО ""Протазан""","Москомнаследие","о взыскании неосновательного обогащения (15 104 116,62)","рассматривается процессуальное правопреемство",0.0000,0.0000,,"Первая инстанция","07/11/18 00:00:00","17:45",,,,0.0000,0.0000,,,,,,,,,,,,2479,4752
,"04/28/17 00:00:00","16-11-462/7",,,,"А40-124809/2016","Решетников Д.К.",,,"ООО ИНТЕГРАЛИТ","Государственному бюджетному учреждению культуры города Москвы ""Музейное объединение ""Музей Москвы""","Правительство Москвы - поручение по ЭДО","о взыскании задолженности в размере 1 782 366,44 руб., а
также неустойки в размере 172 097 руб. 38 коп","о взыскании задолженности и неустойки",0.0000,0.0000,,"Первая инстанция","07/24/17 00:00:00","12:15",,,,0.0000,0.0000,,,,,,,,,,,,2480,3930
,,,,,,"А40-70572/17",,,,"ДГИ","ООО ""Бульвар""",,,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","04/22/19 00:00:00","12:20",,,,0.0000,0.0000,,,,,,,,,,,,2481,4753
,,,,,,"А40-63354/17","Решетников Д.К.",,"Входящий","ООО ""Индустрия Бизнеса""","Москомнаследие",,,"о признании незаконной и отмене заключения от 14.08.2014 г., обязании в 10-ти дневный срок направить заключении о недопустимости перепланировки",0.0000,0.0000,,"Первая инстанция","06/27/17 00:00:00","15:15",,,,0.0000,0.0000,,,,,,,,,,,,2482,4754
,,,,,,"47414/2017","Шастун А.В.",,"Входящий","ТУ Росимущества по г. Москве","ФГАУ ""Национальный научно практический центр нейрохирургии им. Академика Н.Н. Бурденко""",,,"о признании права собственности Российской Федерации на самовольноестроение",0.0000,0.0000,,"Первая инстанция","05/30/17 00:00:00","14:40",,,,0.0000,0.0000,,,,,,,,,,,,2483,4755
,,,,,,"А40-71206/2017","Величко В.В.",,"Исходящий","Москомнаследие","ООО ""Станиславского 21-21""",,,"Об обязании провести работы по сохранению выявленного объекта культурного наследия",0.0000,0.0000,,"Первая инстанция","07/10/17 00:00:00","09:00",,,,0.0000,0.0000,,,,,,,,,,,,2484,4756
,,,,,,"А40-69528/15","Величко В.В.",,"Входящий","ДГИ","ООО ""Глобал Хоум""","Москомнаследие",,"О признании постройки самовольной и ее сноса",0.0000,0.0000,,"Первая инстанция","06/22/17 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2485,4086
,,,,,,"А40-75421/2017","Шастун А.В.",,"Входящий","ОАО Гипролеспром","Москомнаследие",,,"о признании незаконными действий",0.0000,0.0000,,"Первая инстанция","07/18/17 00:00:00","12:30",,,,0.0000,0.0000,,,,,,,,,,,,2486,4515
,,,,,,"А40-","Величко В.В.",,"Входящий","ДГИ,ПМ"," ГАУК ""Центральный парк культуры и отдыха им. Горького""","Москомнаследие",,"О признании права собственности города Москвы на самовольную постройку",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2487,4757
,,,,,,"А40-238143/16","Величко В.В.",,"Входящий","ООО ""Общество по возродлению традиций П.А. Смирнова""","ООО Энергия здоровья","Москомнаследие","о взыскании 8 488 119 руб",,0.0000,0.0000,,"Первая инстанция","09/22/17 00:00:00","09:00",,,,0.0000,0.0000,,,,,,,,,,,,2488,4758
,,,,,,"А40-84390/17","Шальнова С.П",,"Входящий","ООО ""Механикус""","Москомнаследие",,,"о взыскании 2 763 611",0.0000,0.0000,,"Апелляция","06/13/17 00:00:00","15:30",,,,0.0000,0.0000,,,,,,,,,,,,2489,4759
,,,,,,"33-7011/18","Величко В.В.",,"Входящий","Оганова Т.Х.","ОАО ""ШАТЛ-Д"", ООО ""Руджи""","Москомнаследие",,"о приведении имущества в первоначальное состояние",0.0000,0.0000,,"Апелляция","03/16/18 00:00:00","13:30",,,,0.0000,0.0000,,,,,,,,,,,,2490,4740
,,,,,,"А40-80636/17","Шастун А.В.",,"Входящий","АНО"" Центральный орден Дружбы народов Дом работников искусств""","Москомнаследие",,,"о признании незаконным и отмене предписания от 3.11.2016",0.0000,0.0000,,"Кассация","06/07/18 00:00:00","13:45",,,,0.0000,0.0000,,,,,,,,,,,,2491,4507
,,,,,,"А40-44017/17","Шастун А.В.",,"Входящий","ГБУК г. Москвы МГТМ п/р А.Рыбникова","Мосжилинспекция","Москомнаследие",,,0.0000,0.0000,,"Первая инстанция","07/05/17 00:00:00","14:30",,,,0.0000,0.0000,,,,,,,,,,,,2492,4760
,,,,,,"02а-0126/2017 Лефортовский р-ный","Величко В.В.",,"Входящий","Андреева А.С.","Москомнаследие",,,"о признании незаконным приказа от 24 апреля 2017 г. № 260",0.0000,0.0000,,"Апелляция","03/26/18 00:00:00","11:10",,,,0.0000,0.0000,,,,,,,,,,,,2493,4761
,,,,,,"А40-75521/17","Шастун А.В.",,"Входящий","Москомнаследие","ООО ""У Дяди мусы"" (профиль)",,,"о взыскании 50 000 за нарушение условий охранного обязательства (представить судебные акты)",0.0000,0.0000,,"Первая инстанция","09/18/17 00:00:00","10:00",,,,0.0000,0.0000,,,,,,,,,,,,2494,4762
,,,,,,"А40-129232/2015","Величко В.В.",,"Входящий","ООО ИП ""Компьютерс""","ДГИ","Москомнаследие",,"об урегулировании разногласий, возникших при заключении договора купли-продажи",0.0000,0.0000,,"Первая инстанция","05/31/17 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2495,4490
,,,,,,"А40-36262/17","Решетников Д.К.",,"Входящий","СОФ ""МАДФ""","Росимущество, ФГБУК АУИПИК","Москомнаследие",,"о признании права собственности на объект, об истребовании из чужего незаконного владения",0.0000,0.0000,,"Первая инстанция","06/21/17 00:00:00","14:45",,,,0.0000,0.0000,,,,,,,,,,,,2496,4763
,,,,,,"А40-244848/16","Решетников Д.К.",,"Входящий","ООО ""Исостаил""","ДГИ","Москомнаследие",,"об оспаривании распоряжения от 10.08.16 № 22193",0.0000,0.0000,,"Первая инстанция","06/22/17 00:00:00","10:30",,,,0.0000,0.0000,,,,,,,,,,,,2497,4764
,,,,,,"А40-92263/17","Шастун А.В.",,"Входящий","ГБУ по эксплуатации высотных домов административных и жилых домов (ГБУ ЭВАЖД)","Москомнаследие",,,"о признании незаконным и отмене предписания от 23.12.2016",0.0000,0.0000,,"Апелляция","03/20/18 00:00:00","10:30",,,,0.0000,0.0000,,,,,,,,,,,,2498,4765
,,,,,,"2-2231 Хамовнический р-ный суд","Шастун А.В.",,"Входящий","Киселев","Госинспекция по недвижимости","Москомнаследие",,"о признании незаконными решений госинспекции",0.0000,0.0000,,"Первая инстанция","06/15/17 00:00:00","11:05",,,,0.0000,0.0000,,,,,,,,,,,,2499,4766
,,,,,,"А40-64606/17","Величко В.В.",,"Входящий","ТУ Росимущес тва по гор Москве","ООО ""ЕТК Инвест""","Москомнаследие",,"об истребовании объекта культурного наследия",0.0000,0.0000,,"Кассация","12/20/17 00:00:00","16:20",,,,0.0000,0.0000,,,,,,,,,,,,2500,4767
,,,,,,"А40-89563/17 (упр)","Решетников Д.К.",,"Входящий","ПАО ""МОЭК""","Москомнаследие",,,"о взыскании 364 821, 26 руб.",0.0000,0.0000,,"Первая инстанция","07/10/17 00:00:00","09:00",,,,0.0000,0.0000,,,,,,,,,,,,2501,4768
,,,,,,"А40-23686/17",,,,"ЦРО ""Совет православных церковных приходов преображенского монастыря","Управление росреестра по Москве","Москомнаследие",,"о признании, обязании",0.0000,0.0000,,"Первая инстанция","06/27/17 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2502,4769
,,,,,,"2-2872/17 (щелковский суд)","Величко В.В.",,"Входящий","Москомнаследие","Кондратов С.А.",,,"о понуждении проведения работ по сохранению",0.0000,0.0000,,"Первая инстанция","06/20/17 00:00:00","14:45",,,,0.0000,0.0000,,,,,,,,,,,,2503,4770
,,,,,,"2-3526/2017","Шастун А.В.",,"Входящий","Оганова Т.Х.","Воробьев В.В., ООО ""Интерейт""","Москомнаследие",,"о приведении общего имущества в первоначальное состояние",0.0000,0.0000,,"Апелляция","06/04/18 00:00:00","10:00",,,,0.0000,0.0000,,,,,,,,,,,,2504,4740
,,,,,,"А40-103535/17","Колесникова Е.Ю.",,"Входящий","ДГИ, ПМ","ООО Времена года","Москомнаследие",,"о признании права собственности",0.0000,0.0000,,"Первая инстанция","05/29/18 00:00:00","12:00",,,,0.0000,0.0000,,,,,,,,,,,,2505,4771
,,,,,,"А40-104457/17","Шастун А.В.",,"Входящий","Москомнаследие","ООО ""Ордынка""",,,"оо обязании провести работы по сохранению",0.0000,0.0000,,"Первая инстанция","12/19/17 00:00:00","11:30",,,,0.0000,0.0000,,,,,,,,,,,,2506,4772
,,,,,,"А40-74873/17","Решетников Д.К.",,"Входящий","ООО ""Ариант-Тревэл""","ДГИ","Москомнаследие",,"об обязании заключить договор купли-продажи (выдача дубликата исп листа)",0.0000,0.0000,,"Первая инстанция","10/02/18 00:00:00","11:15",,,,0.0000,0.0000,,,,,,,,,,,,2507,4773
,,,,,,"А40-98701/17","Решетников Д.К.",,"Входящий","ТСЖ Петровский 8","Москомнаследие",,,"об установлении факта управления МКД",0.0000,0.0000,,"Первая инстанция","08/22/17 00:00:00","10:40",,,,0.0000,0.0000,,,,,,,,,,,,2508,4774
,,,,,,,"Величко В.В.",,"Входящий","ЧКОО ""Даунтаунт девелопмент""","Правительству Москвы (мы опредставляем интересы)",,,"об оспаривании 958-ПП",0.0000,0.0000,,"Апелляция","08/17/17 00:00:00","09:30",,,,0.0000,0.0000,,,,,,,,,,,,2509,4775
,,,,,,"А40-","Решетников Д.К.",,"Входящий","ООО Нацстройинвест","ДГИ","Москомнаследие",,"о понууждении заключить договор купли-продажи",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2510,4776
,,,,,,"А40-101387/17","Решетников Д.К.",,"Входящий","ООО ""НАЦСТРОЙИНВЕСТ""","ДГИ","Москомнаследие",,"об обязании",0.0000,0.0000,,"Первая инстанция","10/18/17 00:00:00","10:30",,,,0.0000,0.0000,,,,,,,,,,,,2511,4777
,,,,,,"А40-87326/17","Решетников Д.К.",,"Входящий","ООО Анолна","ДГИ","Москомнаследие",,"о признании незаконными действий, выразившееся в отказе в предоставлении государственной услуге Возмездное отчуждение недвижимого имущества",0.0000,0.0000,,"Первая инстанция","08/02/17 00:00:00","15:20",,,,0.0000,0.0000,,,,,,,,,,,,2512,4778
,,,,,,"А40-66355/17","Решетников",,"Входящий","АО Фирма Кабриолет","ДГИ",,,"об обязании заключить договор купли-продажи нежилого помещения",0.0000,0.0000,,"Первая инстанция","08/31/17 00:00:00","14:50",,,,0.0000,0.0000,,,,,,,,,,,,2513,4779
,,,,,,"А40-110212/17","Величко В.В.",,"Входящий","ЧКОО Даунтаун Девелопмент Б.В.","Москомнаследие",,"иное…","о признании недействительным предписания от 20.03.2017",0.0000,0.0000,,"Первая инстанция","08/02/17 00:00:00","14:45",,,,0.0000,0.0000,,,,,,,,,,,,2514,4780
,,,,,,"А40-77916/17","Величко В.В.",,"Входящий","ПМ, ДГИ","ГАУК города Москвы ""Центральный парк культуры иотдыха имени М.Горького","Москомнаследие",,"о признании двухэтажного нежилого здания с подвалом самовольной постройкой, признании на нее права собственности города Москвы",0.0000,0.0000,,"Первая инстанция","05/24/18 00:00:00","09:45",,,,0.0000,0.0000,,,,,,,,,,,,2515,4781
,,,,,,"А40-","Величко В.В.",,"Входящий","ДГИ, ПМ","ООО ""Времена года""","Москомнаследие",,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2516,4782
,,,,,,"А40-102747/17","Решетников Д.К.",,"Входящий","Черняк Ю.В.","ДГИ","Москомнаследие",,"о признании права общедолевой собственности на подвал",0.0000,0.0000,,"Первая инстанция","01/23/19 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2517,4783
,,,,,,"А40-162676/17","Решетников Д.К.",,"Входящий","ЗАО ""Михалково""","Управление росреестра","Москомнаследие",,"о признании незаконным решения об отказе в государственной регистрации права",0.0000,0.0000,,"Первая инстанция","10/03/17 00:00:00","13:30",,,,0.0000,0.0000,,,,,,,,,,,,2518,4784
,,,,,,"А40-116904/2017","Величко В.В.",,"Входящий","ДГИ, ПМ","ООО ""Паллада Групп","Москомнаследие",,"о восстановлении положения, существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","09/13/18 00:00:00","10:15",,,,0.0000,0.0000,,,,,,,,,,,,2519,4785
,,,,,,"А40-116908/17","Величко В.В.",,"Входящий","ПМ, ДГИ","ИП Мостовой О.В.","Москомнаследие",,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","09/15/17 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2520,4786
,,,,,,"А40-116901/17","Величко В.В.",,"Входящий","ДГИ,ПМ","ООО ""СОВИНКОМ""","Москомнаследие",,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","05/15/19 00:00:00","14:00",,,,0.0000,0.0000,,,,,,,,,,,,2521,4787
,,,,,,"А40-120325/17","Величко В.В.",,"Входящий","ФГБУК ""Агентство по управлению и использованию памятников истории и культуры""","Коллегия адвокатов ""Тарло и партены""","Москомнаследие",,"о взыскании неустойки и устранении нарушений",0.0000,0.0000,,"Апелляция","03/12/18 00:00:00"," 11:20",,,,0.0000,0.0000,,,,,,,,,,,,2522,4788
,,,,,,"16-11-668/7-2","????",,"?????","????",,,,"проверить наше дело или административка инспекции",0.0000,0.0000,,"Первая инстанция","07/13/17 00:00:00","09:45",,,,0.0000,0.0000,,,,,,,,,,,,2523,4789
,,,,,,"16-11-668/7-3","????",,"?????","????",,,,"проверить наше дело или административка инспекции",0.0000,0.0000,,"Первая инстанция","07/13/17 00:00:00","09:45",,,,0.0000,0.0000,,,,,,,,,,,,2524,4790
,,,,,,"02-3547/17 (Таганский р-ный)","Решетников Д.К.",,"Входящий","ГБУ ЭВАЖД","Кондрашин А.А.","Москомнаследие",,"о демонтаже кондеционеров",0.0000,0.0000,,"Первая инстанция","07/25/17 00:00:00","14:15",,,,0.0000,0.0000,,,,,,,,,,,,2525,4791
,,,,,,"02-3550/17 (Таганский р-ный)","Решетников Д.К.",,"Входящий","ГБУ ЭВАЖД","Бурдаков С.В.","Москомнаследие",,"о демонтаже кондеционеров",0.0000,0.0000,,"Первая инстанция","07/25/17 00:00:00","14:45",,,,0.0000,0.0000,,,,,,,,,,,,2526,4792
,,,,,,"02-3549/17 (Таганский р-ный)","Решетников Д.К.",,"Входящий","ГБУ ЭВАЖД","Платова А.И.","Москомнаследие",,"о демонтаже кондеционеров",0.0000,0.0000,,"Первая инстанция","09/19/17 00:00:00","10:00",,,,0.0000,0.0000,,,,,,,,,,,,2527,4793
,,,,,,"02-3548/17 (Таганский р-ный)","Решетников Д.К.",,"Входящий","ГБУ ЭВАЖД","Рязанова Л.Н.","Москомнаследие",,"о демонтаже кондеционеров",0.0000,0.0000,,"Первая инстанция","07/25/17 00:00:00","14:25",,,,0.0000,0.0000,,,,,,,,,,,,2528,4794
,,,,,,"А40-102325/2017","Решетников Д.К.","06/06/17 00:00:00",,"Москомнаследие","Управление Минкультуры по ЦФО",,"о признании незаконным предписания  от 22.02.2017 г. № 4-П",,0.0000,0.0000,,"Первая инстанция","12/07/17 00:00:00","12:30",,,,0.0000,0.0000,,,,,,,,,,,,2529,4795
,,"16-11-691/7","12.07.2017",,,"2-6141/17 2 - 0113/2018","Величко В.В.",,,"ДГИ, ПМ","Бычкова В.И., Голоцан С.В., Булгакова Н.В., Ломовская К.Е.,","Москомнаследие с самостоятельными требованиями",,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","04/08/19 00:00:00","14:40",,,,0.0000,0.0000,,,,,,,,,,,,2530,4366
,,"16-11-707/7",,,,"А40-124454/2017","Шастун А.В.",,,"ТСЖ ""Курчатовское""","Москомнаследие",,,"о признании незаконным предписание ПР-104/2017",0.0000,0.0000,,"Кассация","03/22/18 00:00:00","09:50",,,,0.0000,0.0000,,,,,,,,,,,,2531,4402
,,,,,,"А40-28333/17","Шастун А.В.",,"Входящий","ОАО""Мосзагранэнергооргстрой""","ФГБУК ""Агентство по управлению и использованию памятников истории и культуры""","Москомнаследие",,"о признании отказа недействительным",0.0000,0.0000,,"Первая инстанция","07/31/17 00:00:00","14:00",,,,0.0000,0.0000,,,,,,,,,,,,2532,4796
,,,,,,,"Решетников Д.К.",,"Входящий","ДГИ","ООО ""МОСИТАЛМЕД""","Москомнаследие",,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","10/10/17 00:00:00","15:20",,,,0.0000,0.0000,,,,,,,,,,,,2533,4797
,,,,,,"02-2741/2017","Величко В.В.",,"Входящий","Большакова О.П., Большаков Э.В.","Москомнаследие",,,"об оспаривании предписания",0.0000,0.0000,,"Первая инстанция","11/01/17 00:00:00","15:20",,,,0.0000,0.0000,,,,,,,,,,,,2534,4798
,,,,,,"2-2717/17 (хорошевский р-ный)","Велчко В.В.",,"Входящий","ГЖИ","ТСЖ Курчатовское","Москомнаследие",,"об устранении нарушений обязательных требований",0.0000,0.0000,,"Апелляция","12/14/17 00:00:00","13:00",,,,0.0000,0.0000,,,,,,,,,,,,2535,4799
,,,,,,"А40-79942/17","Шальнова С.П.",,"Входящий","ПАО ВТБ 24","ЗАО Аптека новоарбатская","Москомнаследие",,"о взыскании задолжности в размере 809 631, 73",0.0000,0.0000,,"Апелляция","11/15/17 00:00:00","15:20",,,,0.0000,0.0000,,,,,,,,,,,,2536,4800
,,,,,,,"Величко В.В.",,"Исходящий","Москомнаследие","Шрагина Ю.В.",,,"о понуждении проведения работ по сохранению",0.0000,0.0000,,"Первая инстанция","08/14/17 00:00:00","14:45",,,,0.0000,0.0000,,,,,,,,,,,,2537,4801
,,,,,,"А40-135397/17","Решетников Д.К.",,"Входящий","ООО Агроинвест Ц","ДГИ","Москомнаследие",,"о признании сделки недействительной",0.0000,0.0000,,,"10/11/17 00:00:00","16:15",,,,0.0000,0.0000,,,,,,,,,,,,2538,4802
,,,,,,"02-2933/17 , 2-97/2018 Хамовнический","Шальнова С.П.",,"Входящий","Москомнаследие","О.А.Бойченко",,,"о понуждении проведения работ по сохранению окн",0.0000,0.0000,,"Апелляция","07/06/18 00:00:00","10:00",,,,0.0000,0.0000,,,,,,,,,,,,2539,4803
,,,,,,,"Решетников Д.К.",,"Входящий","ИП Любинский Е.Г.","ДГИ","Москомнаследие",,"о признании недйствительным распоряжения № 5024",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2540,4804
,,,,,,"А40-107059/17","Решетников Д.К.",,"Входящий","ООО ""М-АРХ""","ДГИ","Москомнаследие",,"об обязании заключить договор купли-продажи (окн выявленный)",0.0000,0.0000,,"Апелляция","03/11/19 00:00:00","10:20",,,,0.0000,0.0000,,,,,,,,,,,,2541,4805
,,,,,,"А40-136782/17","Шальнова С.П.",,"Исходящий","Москомнаследие","ООО ""Фирма-кабриолет""",,,"о понуждении проведения работ по сохранению",0.0000,0.0000,,"Кассация","08/16/18 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2542,4806
,,,,,,"А40-215709/2015","Величко В.В.",,"Входящий","ООО ВТБ Капитал пенсионный резерв","ДГИ","Москомнаследие",,"о признании незаконными действий",0.0000,0.0000,,"Кассация","09/27/17 00:00:00","10:00",,,,0.0000,0.0000,,,,,,,,,,,,2543,4807
,,,,,,"А41-56581/17","Величко В.В",,,"Москомнаследие","ООО ""Лесная Долина""",,,"об обязании провести работы по сохранению",0.0000,0.0000,,"Первая инстанция","12/13/17 00:00:00","11:15",,,,0.0000,0.0000,,,,,,,,,,,,2544,4732
,,,,,,"02-14482/2017 02-1225/2018, 33-38184/2018",,,,"Правительство Москвы, ДГИ","Козлова Н.Э.","Москомнаследие",,"о признании мансарды самовольной",0.0000,0.0000,"Апелляция","Апелляция","10/04/18 00:00:00","09:20",,,,0.0000,0.0000,,,,,,,,,,,,2545,4808
,,,,,,"А40-136647/17","Решетников Д.К.",,,"Москомнаследие","ЗАО ""Михалково""",,,"об обязании провести работы по сохранению",0.0000,0.0000,,"Первая инстанция","12/18/17 00:00:00","9:30",,,,0.0000,0.0000,,,,,,,,,,,,2546,3610
,,,,,,"02а-0417 Пресненский р-ный суд","Шастун А.В.",,"Входящий","Оганова Т.Х.","Москомнаследие",,,"об оспаривании бездействия",0.0000,0.0000,,"Первая инстанция","10/05/17 00:00:00","15:40",,,,0.0000,0.0000,,,,,,,,,,,,2547,4809
,,,,,,"А40-21282/2017","Шастун А.В.",,"Входящий","Нотариус, Романова М.В.","ДГИ","Москомнаследие",,"об урегулировании разногласий возникших при заключении договора купли-продажи",0.0000,0.0000,,"Первая инстанция","08/30/17 00:00:00","17:30",,,,0.0000,0.0000,,,,,,,,,,,,2548,4810
,,,,,,"А40-233432/16","Шастун А.В.",,"Входящий","ДГИ,ПМ","ООО ""Сварог"", АО ""Банк Воронеж""","Москомнаследие",,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","10/09/17 00:00:00","10:00",,,,0.0000,0.0000,,,,,,,,,,,,2549,4811
,,,,,,"А40-146341/17","Величко В.В.",,"Исходящий","Москомнаследие","ООО ""ЦентрЖилСервис-2010""",,,"об обязании проведения работ по сохранению выявленного ОКН",0.0000,0.0000,,"Первая инстанция","05/07/18 00:00:00","12:40",,,,0.0000,0.0000,,,,,,,,,,,,2550,4812
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,2551,4812
,,,,,,"А40-143994/17","Величко В.В.",,"Входящий","Москомнаследие","ООО ""Мода С""",,"о понуждении проведения работ по сохранению ОКН",,0.0000,0.0000,,"Первая инстанция","02/06/18 00:00:00","14:50",,,,0.0000,0.0000,,,,,,,,,,,,2552,4813
,,,,,,"А40-","Решетников Д.К.",,"Входящий","ООО ""Телта-Рапид""","Москомнаследие",,,"о признании незаконным и отмене предписания от 16.05.2017",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2553,4744
,,,,,,"А40-145876/17","Величко В.В.",,"Входящий","Ип Люблинский Е.Г.","ДГИ","Москомнаследие",,"о признании незаконным распоряжения от 22.04.2017 № 5024",0.0000,0.0000,,"Первая инстанция","11/10/17 00:00:00","11:20",,,,0.0000,0.0000,,,,,,,,,,,,2554,4814
,,,,,,"А40-35363/2017","Шастун А.В.",,"Входящий","ООО ""Элеватормелькомплект""","ДГИ","Москомнаследие",,"об урегулировании разногласий",0.0000,0.0000,,"Первая инстанция","12/07/17 00:00:00","13:00",,,,0.0000,0.0000,,,,,,,,,,,,2555,4815
,,,,,,"А40-166915/17","Решетников",,"Входящий","ООО Механикус","Москомнаследие",,,"о взыскании причиненного ущерба в размере 2 763 611 руб",0.0000,0.0000,,"Первая инстанция","06/04/18 00:00:00","12:00",,,,0.0000,0.0000,,,,,,,,,,,,2556,4816
,,,,,,"А40-158831/17","Решетников Д.К.",,"Входящий","ООО ""Телта рапид""","Москомнаследие",,,"о ризнании незаконным и отмене предписания от 16.05.2017",0.0000,0.0000,,"Первая инстанция","11/21/17 00:00:00","10:50",,,,0.0000,0.0000,,,,,,,,,,,,2557,4817
,,,,,,"А40-161352/17","Решетников Д.К.",,"Входящий","ООО САХМОС","ДГИ","Москомнаследие",,"об урегулировании разногласий, возникших при заключении договора купли-продажи",0.0000,0.0000,,"Первая инстанция","11/14/17 00:00:00","11:50",,,,0.0000,0.0000,,,,,,,,,,,,2558,4818
,,,,,,"02-4155/17 02-0058/18","Решетников Д.К.",,"Входящий","ДГИ,ПМ","Томилин А.Н., ООО ""Права клиента"", Копонова О.П., ООО Везир","Москомнаследие",,"О восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","04/16/19 00:00:00","14:00",,,,0.0000,0.0000,,,,,,,,,,,,2559,4819
,,,,,,"3а-1731/17","Решетников Д.К.",,"Входящий","ФГБУК Государственный академический театр классического балета под руководством Наталии касаткиной и Владимира Василева","Мэр, ДГИ","Мосгорнаследие",,"об оспаривании пунктов ППМ от 9 июня 2009 г. № 542-ПП, пунктов ППМ от 20 февраля № 99-ПП",0.0000,0.0000,,"Апелляция","11/08/17 00:00:00","14:00",,,,0.0000,0.0000,,,,,,,,,,,,2560,4820
,,,,,,"02-0195/2017","Шастун А.В.",,"Входящий","Ковалева Т.И.","Славянов А.Н.","Москомнаследие",,"о признании перепланировки незвконной и обязании привести жилое помещение в первоначальное состояние, вселении",0.0000,0.0000,,"Апелляция","02/28/18 00:00:00","12:40",,,,0.0000,0.0000,,,,,,,,,,,,2561,4821
,,,,,,"02-5483/2017","Шастун А.В.",,"Входящий","Трегубова","Москомнаследие",,,"об обжаловании дисциплинарных взысканий",0.0000,0.0000,,"Первая инстанция","04/18/18 00:00:00","10:40",,,,0.0000,0.0000,,,,,,,,,,,,2562,4822
,,,,,,"02-4359/17","Решетников Д.К.",,"Входящий","ПМ,ДГИ","ЗАО  Студия Класика, Вануни Артур Владмимирович","Москомнаследие",,"о признании надстройки самовольной (рассматриваетсячастная  жалоба на определение о мерах по обеспечению иска)",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2563,4823
,,,,,,"А40-232004/16","Шальнова С.П.",,"Входящий","ИП Бойченко","ОАО ""ЦКР""",,,"о расторжении договора и взыскании 15 500 000",0.0000,0.0000,,"Апелляция","03/19/18 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2564,4824
,,,,,,"А40-171684/2017","Шальнова С.П.",,"Входящий","Москомнаследие","ООО Дирекция реставрационно-строительного контроля",,,"овзыскании по государственному контракту 21 063 (упращенка)",0.0000,0.0000,,"Первая инстанция","11/27/17 00:00:00",,,,,0.0000,0.0000,,,,,,,,,,,,2565,4825
